"","interest_rate","income_ver","debt_to_income","credit_util","bankruptcy","term","issue","credit_checks"
"49",9.93,"Not Verified",3.64,"0.308","no",60,1,0
"50",10.42,"Source Verified",17.24,"0.495","no",36,1,2
"51",22.91,"Verified",18.72,"0.175","no",60,2,6
"52",30.79,"Not Verified",19.64,"0.612","no",60,1,1
"53",15.05,"Source Verified",9.12,"0.460","no",60,2,0
"54",6.07,"Source Verified",22.91,"0.284","no",36,3,0
"55",6.07,"Not Verified",21.41,"0.187","no",36,3,1
"56",17.47,"Source Verified",13.05,"0.033","no",36,3,0
"57",7.34,"Verified",20.16,"0.083","no",36,3,4
"58",13.59,"Verified",39.08,"0.349","yes",36,2,8
"59",6.72,"Not Verified",14.62,"0.065","no",36,1,2
"60",5.31,"Not Verified",11.64,"0.562","no",36,2,1
"61",9.93,"Verified",12.15,"0.222","yes",36,1,8
"62",9.92,"Source Verified",12.58,"0.396","no",36,3,0
"63",9.93,"Not Verified",16.73,"0.836","no",36,2,0
"64",14.07,"Verified",28.13,"0.196","no",60,3,1
"65",7.97,"Source Verified",7.89,"0.448","no",36,2,1
"66",5.31,"Not Verified",15.42,"0.116","no",36,3,0
"67",9.93,"Not Verified",32.4,"0.338","no",60,2,1
"68",14.08,"Source Verified",17.28,"0.767","yes",60,1,2
"69",12.61,"Not Verified",32.06,"0.166","no",36,3,0
"70",12.62,"Source Verified",3.7,"0.425","no",36,1,1
"71",17.47,"Source Verified",22.09,"0.806","no",36,3,6
"72",12.62,"Source Verified",16.26,"0.344","no",36,1,2
"73",6.71,"Source Verified",8.72,"0.398","no",36,3,0
"74",19.42,"Source Verified",16.3,"0.765","no",60,3,1
"75",12.62,"Source Verified",16.04,"0.316","no",36,2,3
"76",14.08,"Not Verified",28.42,"0.131","no",60,1,0
"77",10.91,"Verified",21.94,"0.313","no",36,1,1
"78",17.47,"Verified",19.22,"0.989","no",36,2,3
"79",18.06,"Verified",37.74,"0.855","no",36,1,1
"80",16.02,"Verified",15.44,"0.063","yes",36,1,2
"81",19.03,"Verified",18.39,"0.182","no",36,2,3
"82",12.62,"Source Verified",27.23,"0.416","yes",36,1,7
"83",6.07,"Source Verified",11.14,"0.681","no",36,2,2
"84",9.43,"Source Verified",1.56,"0.019","no",60,3,3
"85",10.42,"Verified",17.44,"0.167","no",60,1,1
"86",7.96,"Not Verified",11.45,"0.196","yes",36,3,2
"87",13.59,"Not Verified",21.09,"0.254","no",60,1,5
"88",15.04,"Source Verified",34.86,"0.663","no",60,3,1
"89",12.61,"Source Verified",13.77,"0.487","no",36,3,1
"90",7.96,"Source Verified",9.61,"0.848","yes",36,3,3
"91",13.58,"Source Verified",24.39,"0.549","no",60,3,4
"92",16.01,"Source Verified",5.16,"0.061","no",60,3,6
"93",22.91,"Verified",28.53,"0.390","no",36,2,1
"94",7.97,"Not Verified",20.74,"0.125","no",36,1,8
"95",18.06,"Not Verified",12.22,"0.415","yes",60,1,3
"96",6.08,"Not Verified",15.84,"0.136","no",36,1,0
"97",5.32,"Source Verified",3.82,"0.142","no",36,2,0
"98",5.32,"Not Verified",15.48,"0.172","yes",36,2,2
"99",9.93,"Source Verified",14.16,"0.080","no",36,1,2
"100",20,"Verified",49.58,"0.658","yes",60,2,2
"101",15.05,"Not Verified",13.27,"0.921","no",36,2,0
"102",7.96,"Source Verified",16.72,"0.126","no",36,3,13
"103",26.77,"Source Verified",18.5,"0.114","no",60,3,2
"104",9.44,"Not Verified",15.28,"0.098","yes",60,1,6
"105",13.59,"Not Verified",19.05,"0.298","no",36,2,9
"106",15.04,"Source Verified",26.96,"0.471","no",36,3,0
"107",5.31,"Not Verified",21.63,"0.375","no",36,3,2
"108",14.08,"Verified",24.77,"0.721","no",36,2,8
"109",13.59,"Source Verified",18.36,"0.555","no",36,1,2
"110",7.97,"Not Verified",18.92,"0.461","no",36,2,0
"111",9.93,"Source Verified",14.66,"0.426","no",60,1,2
"112",6.08,"Source Verified",29.58,"0.112","no",36,1,0
"113",21.85,"Not Verified",37.83,"0.656","no",60,2,0
"114",10.42,"Source Verified",13.49,"0.707","no",36,2,2
"115",17.47,"Source Verified",29.36,"0.774","no",36,3,0
"116",10.9,"Source Verified",1.12,"0.196","no",36,3,0
"117",6.08,"Not Verified",18.67,"0.277","no",36,1,0
"118",12.61,"Not Verified",25.23,"0.536","no",36,3,1
"119",23.87,"Verified",27.56,"0.076","no",36,2,2
"120",18.06,"Verified",26.88,"0.219","no",36,2,2
"121",13.59,"Source Verified",21.45,"0.919","no",60,1,0
"122",16.02,"Source Verified",15.3,"0.616","yes",36,2,3
"123",9.93,"Verified",16.13,"0.327","no",36,2,2
"124",9.92,"Source Verified",2.91,"0.160","no",36,3,2
"125",7.35,"Not Verified",18.55,"0.656","no",36,1,1
"126",10.91,"Source Verified",9.19,"0.121","no",36,2,2
"127",13.59,"Source Verified",8.46,"0.561","no",60,2,1
"128",14.07,"Source Verified",9.8,"0.393","yes",36,3,0
"129",7.34,"Not Verified",11.62,"0.390","no",36,3,6
"130",15.05,"Verified",24.31,"0.145","no",60,2,1
"131",6.72,"Verified",14.66,"0.298","no",36,2,0
"132",16.01,"Source Verified",22.73,"0.162","no",36,3,1
"133",7.34,"Not Verified",9.91,"0.218","no",36,3,0
"134",23.88,"Not Verified",29.47,"0.945","yes",36,2,4
"135",15.05,"Not Verified",27.68,"0.652","no",36,1,1
"136",6.72,"Not Verified",4.25,"0.209","no",36,2,0
"137",21.45,"Source Verified",16.97,"0.370","no",36,2,3
"138",25.82,"Verified",19.44,"0.451","yes",60,2,1
"139",14.08,"Not Verified",6.06,"0.618","no",60,1,2
"140",15.05,"Verified",17.25,"0.736","yes",36,2,1
"141",9.44,"Not Verified",23.33,"0.326","no",36,1,0
"142",17.09,"Verified",33.19,"0.750","no",36,2,2
"143",16.01,"Not Verified",19.93,"0.655","no",36,3,1
"144",10.9,"Source Verified",15.31,"0.320","yes",60,3,2
"145",12.62,"Not Verified",22.88,"0.519","no",36,1,2
"146",21.45,"Verified",14.4,"0.839","no",60,2,2
"147",10.41,"Source Verified",6.11,"0.056","no",36,3,3
"148",5.32,"Not Verified",18.65,"0.457","no",36,1,0
"149",21.85,"Verified",27.08,"0.159","yes",60,3,2
"150",18.06,"Not Verified",11.73,"0.523","yes",60,1,3
"151",5.32,"Source Verified",7.82,"0.245","no",36,2,2
"152",17.09,"Source Verified",18.88,"0.708","no",60,2,3
"153",9.93,"Source Verified",20.78,"0.139","no",60,3,1
"154",6.08,"Source Verified",19.42,"0.620","no",36,2,1
"156",16.01,"Not Verified",0.33,"0.433","no",36,3,2
"157",13.59,"Not Verified",8.56,"0.480","yes",60,2,0
"158",9.92,"Source Verified",14.16,"0.532","no",36,3,2
"159",15.04,"Source Verified",12.89,"0.167","no",60,3,2
"160",6.71,"Not Verified",9.92,"0.063","no",36,3,3
"161",17.47,"Source Verified",7.2,"0.983","no",36,3,0
"162",11.99,"Source Verified",27.06,"0.472","yes",36,1,2
"163",13.59,"Source Verified",13.3,"0.498","no",36,2,1
"164",7.35,"Not Verified",24.99,"0.342","no",36,1,9
"165",10.42,"Source Verified",0.54,"0.000","no",60,1,4
"166",7.97,"Source Verified",16.72,"0.129","no",36,2,0
"167",9.92,"Not Verified",10.62,"0.149","no",60,3,1
"168",12.61,"Verified",39.34,"0.586","no",36,3,0
"169",9.93,"Not Verified",14.23,"0.323","no",60,1,1
"170",14.07,"Not Verified",21.79,"0.150","no",60,3,1
"171",14.08,"Source Verified",5.96,"0.741","no",60,2,0
"172",12.62,"Source Verified",22.49,"0.448","no",60,1,2
"173",16.02,"Source Verified",17.28,"0.184","no",60,1,3
"174",14.07,"Not Verified",29.38,"0.252","no",60,2,7
"175",18.06,"Source Verified",24.57,"0.467","no",36,2,2
"176",14.08,"Not Verified",21.3,"0.470","no",60,1,1
"177",16.02,"Source Verified",8.63,"0.917","no",60,2,0
"178",11.99,"Source Verified",8.66,"0.135","no",60,1,0
"179",6.72,"Not Verified",26.49,"0.455","no",36,2,0
"180",19.03,"Source Verified",8.37,"0.723","yes",60,1,9
"181",6.71,"Source Verified",11.33,"0.602","no",36,3,0
"182",6.07,"Not Verified",15.48,"0.551","no",36,3,0
"183",7.35,"Source Verified",16.95,"0.251","no",36,1,0
"184",13.59,"Not Verified",27.93,"0.530","yes",36,2,1
"185",13.59,"Source Verified",5.87,"0.073","no",36,1,1
"186",5.31,"Not Verified",12.42,"0.097","no",36,3,0
"187",7.97,"Source Verified",13.04,"0.610","no",36,1,2
"188",7.35,"Source Verified",40.15,"0.255","yes",36,1,3
"189",11.99,"Verified",11.88,"0.519","yes",36,1,2
"190",16.02,"Not Verified",25.41,"0.460","no",36,2,3
"191",9.93,"Source Verified",9.33,"0.699","yes",36,1,0
"192",19.42,"Not Verified",27.74,"0.508","no",36,2,5
"193",7.96,"Not Verified",23.01,"0.466","no",36,3,0
"194",13.59,"Source Verified",10.83,"0.030","no",36,1,0
"195",12.61,"Verified",39.63,"0.810","yes",36,3,7
"196",19.03,"Verified",18.09,"0.104","no",36,2,5
"197",16.01,"Source Verified",7.08,"0.323","no",36,3,6
"198",6.72,"Not Verified",2.54,"0.087","no",36,1,0
"199",6.07,"Not Verified",25.33,"0.197","yes",36,3,1
"200",15.05,"Source Verified",23.92,"0.228","no",36,1,0
"201",6.07,"Source Verified",29.72,"0.604","no",36,3,0
"202",13.58,"Verified",22.66,"0.292","no",36,3,2
"203",10.42,"Source Verified",5.68,"0.343","no",36,2,1
"204",11.98,"Source Verified",9.73,"0.897","no",36,3,0
"205",9.43,"Source Verified",2.78,"0.060","no",36,3,0
"206",16.02,"Not Verified",39.07,"0.692","no",36,2,3
"207",18.06,"Verified",25.43,"0.426","no",36,2,0
"208",12.61,"Source Verified",2.47,"0.128","no",60,3,1
"209",14.07,"Source Verified",22.92,"0.130","no",60,3,1
"210",10.42,"Source Verified",27.71,"0.394","no",36,1,4
"211",10.42,"Source Verified",14.04,"0.680","yes",36,1,2
"212",17.47,"Source Verified",11.79,"0.157","yes",60,3,1
"213",10.91,"Not Verified",30.54,"0.762","no",60,1,1
"214",5.32,"Not Verified",18.63,"0.096","no",36,1,0
"215",9.44,"Not Verified",18.39,"0.154","no",60,1,3
"216",9.44,"Source Verified",27.84,"0.155","no",36,3,1
"217",14.08,"Not Verified",9.24,"0.318","no",36,2,0
"218",7.35,"Not Verified",14.31,"0.211","yes",36,1,1
"219",12.62,"Not Verified",14.39,"0.328","no",60,1,1
"220",15.04,"Verified",22.04,"0.692","no",36,3,1
"221",9.92,"Source Verified",0,"0.000","no",60,3,3
"222",10.9,"Verified",15.81,"0.483","no",60,3,3
"223",6.72,"Not Verified",27.6,"0.493","no",36,3,4
"224",5.32,"Verified",29.12,"0.519","no",36,2,0
"225",11.99,"Verified",7.57,"0.930","no",60,1,1
"226",5.32,"Source Verified",10.67,"0.070","no",36,2,1
"227",10.41,"Verified",31.61,"0.334","no",36,3,0
"228",14.07,"Source Verified",8.7,"0.721","no",60,3,1
"229",6.07,"Not Verified",15.05,"0.221","no",36,2,1
"230",9.93,"Verified",28.96,"0.692","no",36,1,0
"231",11.99,"Source Verified",2.28,"0.356","no",36,3,10
"232",6.71,"Verified",12.9,"0.174","yes",36,3,2
"233",5.31,"Not Verified",16.57,"0.116","no",36,2,2
"234",13.59,"Not Verified",18.03,"0.409","no",60,2,1
"235",10.9,"Source Verified",10.92,"0.532","yes",36,2,3
"236",12.62,"Source Verified",5.59,"0.261","no",36,1,2
"237",10.42,"Not Verified",27.02,"0.936","no",36,1,2
"238",15.05,"Not Verified",24.38,"0.811","no",36,2,4
"239",6.71,"Not Verified",11.45,"0.342","no",36,2,0
"240",21.45,"Source Verified",28.8,"0.921","yes",60,2,1
"241",9.44,"Source Verified",11.12,"0.247","no",36,3,3
"242",11.99,"Verified",13.47,"0.241","no",36,2,6
"243",11.99,"Not Verified",16.93,"0.798","no",36,1,0
"244",6.07,"Not Verified",14.43,"0.220","no",36,3,1
"245",5.31,"Source Verified",16.08,"0.520","no",36,2,0
"246",6.07,"Source Verified",33.23,"0.186","no",36,3,2
"247",19.42,"Source Verified",23.73,"0.870","yes",60,2,6
"248",21.85,"Verified",14.37,"0.618","no",60,3,1
"249",14.08,"Verified",21.32,"0.152","no",36,2,4
"250",18.06,"Verified",18.66,"0.093","no",60,1,2
"251",10.91,"Source Verified",27.2,"0.815","no",36,1,3
"252",9.44,"Not Verified",24.38,"0.293","no",60,1,0
"253",12.62,"Verified",17.23,"0.128","no",60,2,0
"254",9.44,"Not Verified",7.75,"0.289","no",60,2,0
"255",6.08,"Verified",6.21,"0.150","no",36,2,0
"256",11.98,"Not Verified",26.88,"0.395","no",36,3,3
"257",9.92,"Not Verified",19.44,"0.817","no",36,3,0
"258",13.59,"Source Verified",19.2,"0.186","no",36,2,1
"259",10.41,"Not Verified",16.31,"0.636","yes",36,2,4
"260",9.93,"Verified",42.64,"0.194","no",60,1,3
"261",7.97,"Not Verified",17.49,"0.134","no",36,2,3
"262",19.42,"Not Verified",32.32,"0.629","no",36,3,5
"263",18.45,"Verified",18.17,"0.682","no",60,3,2
"264",6.72,"Not Verified",7.2,"0.112","no",36,1,3
"265",10.91,"Source Verified",3.48,"0.042","no",36,1,1
"266",17.47,"Source Verified",20.73,"0.421","no",36,3,0
"267",10.41,"Not Verified",9.37,"0.543","no",36,3,3
"268",6.72,"Verified",74.38,"0.496","no",36,1,0
"269",9.44,"Not Verified",15.28,"0.111","no",36,2,4
"270",12.61,"Source Verified",9.09,"0.324","no",36,3,4
"271",7.96,"Not Verified",3.67,"0.084","no",36,3,4
"272",10.9,"Verified",2.7,"0.834","no",36,3,1
"273",21.85,"Not Verified",16.07,"0.143","no",60,2,3
"274",7.96,"Verified",9.82,"0.109","no",36,3,0
"275",9.43,"Verified",21.08,"0.224","no",60,3,3
"276",15.04,"Not Verified",22.18,"0.163","no",60,3,1
"277",14.07,"Source Verified",13.72,"0.151","no",60,3,4
"278",10.9,"Source Verified",15.3,"0.113","yes",36,3,0
"279",6.08,"Not Verified",13.82,"0.121","no",36,2,2
"280",9.93,"Source Verified",15.94,"0.957","no",36,1,1
"281",12.61,"Not Verified",11.52,"0.718","no",36,3,0
"282",10.42,"Not Verified",18.48,"0.159","no",60,2,0
"283",30.17,"Source Verified",22.6,"0.133","no",60,1,1
"284",19.42,"Verified",21.22,"0.870","no",60,2,3
"285",9.43,"Not Verified",20.58,"0.226","yes",36,3,1
"286",17.47,"Verified",7.2,"0.019","no",60,3,0
"287",7.34,"Source Verified",16.62,"0.394","no",36,3,0
"288",7.96,"Not Verified",15.38,"0.738","yes",36,3,0
"289",13.58,"Source Verified",17.62,"0.564","yes",36,3,2
"290",9.43,"Verified",10.85,"0.192","no",60,3,0
"291",21.85,"Verified",36.25,"0.376","no",60,3,1
"292",21.85,"Not Verified",27.28,"0.607","yes",60,3,0
"293",22.91,"Verified",1.25,"1.111","yes",36,1,1
"294",12.61,"Not Verified",0.75,"0.001","no",36,3,3
"295",9.93,"Verified",12.08,"0.062","no",36,2,5
"296",6.72,"Source Verified",13.75,"0.159","no",36,1,2
"297",19.42,"Source Verified",8.59,"0.866","no",36,3,0
"298",9.92,"Source Verified",18.89,"0.096","yes",36,3,9
"299",14.07,"Not Verified",19.97,"0.215","no",60,3,0
"300",10.42,"Verified",37.06,"0.214","no",36,1,1
"301",7.35,"Not Verified",17.61,"0.407","no",36,1,10
"302",6.71,"Not Verified",27.51,"0.628","no",36,3,2
"303",12.62,"Not Verified",21.05,"0.200","no",36,2,5
"304",21.45,"Not Verified",38.45,"0.376","no",60,2,5
"305",16.01,"Not Verified",17.96,"0.271","no",60,2,0
"306",16.02,"Not Verified",6.27,"0.324","yes",60,1,1
"307",10.9,"Source Verified",11.36,"0.695","no",36,3,1
"308",11.99,"Source Verified",9.11,"0.061","no",36,1,3
"309",7.34,"Source Verified",5.44,"0.325","no",36,3,3
"310",12.61,"Not Verified",15.46,"0.828","no",36,2,1
"311",6.71,"Source Verified",7.2,"0.189","no",36,3,2
"312",9.43,"Not Verified",2.42,"0.476","no",36,3,0
"313",13.59,"Not Verified",34.13,"0.811","no",36,1,1
"314",6.08,"Not Verified",17.68,"0.183","no",36,1,0
"315",7.96,"Source Verified",18.01,"0.310","no",36,3,3
"316",7.35,"Not Verified",25.65,"0.459","no",36,2,1
"317",10.9,"Source Verified",10.19,"0.596","no",60,3,0
"318",6.07,"Source Verified",24.17,"0.272","no",36,3,0
"319",19.03,"Source Verified",5.44,"0.120","no",36,1,2
"320",14.08,"Source Verified",9.49,"0.925","no",60,2,1
"321",10.42,"Source Verified",27.7,"0.744","no",36,2,1
"322",9.44,"Not Verified",1.45,"0.008","yes",36,3,1
"323",5.31,"Source Verified",9.78,"0.131","no",36,2,0
"324",7.97,"Not Verified",11.81,"0.470","no",36,1,1
"325",5.32,"Not Verified",14.44,"0.161","no",36,1,2
"326",10.91,"Verified",31.18,"0.405","no",36,1,1
"327",10.91,"Source Verified",38.98,"0.671","no",36,1,0
"328",19.03,"Verified",128.61,"0.279","no",36,1,0
"329",12.61,"Source Verified",14.72,"0.915","no",60,3,1
"330",13.59,"Source Verified",17.58,"0.259","no",36,1,1
"331",5.32,"Source Verified",20.57,"0.170","no",36,1,0
"332",13.58,"Verified",22.64,"0.528","no",60,3,2
"333",16.01,"Not Verified",9.92,"0.187","no",60,2,2
"334",7.35,"Not Verified",14.52,"0.183","no",36,1,3
"335",9.92,"Verified",18.61,"0.079","no",36,3,1
"336",9.43,"Source Verified",16.82,"0.136","no",60,2,0
"337",7.35,"Verified",13.22,"0.095","no",36,2,3
"338",9.43,"Not Verified",7.84,"0.051","yes",36,3,2
"339",9.44,"Not Verified",5.65,"0.374","yes",36,2,3
"340",17.09,"Source Verified",24.8,"0.845","no",36,1,1
"341",18.06,"Verified",24.42,"0.698","no",36,1,9
"342",21.85,"Source Verified",18.08,"0.708","no",60,3,4
"343",6.72,"Not Verified",10.66,"0.450","no",36,2,0
"344",9.43,"Source Verified",21.22,"0.487","no",36,2,3
"345",10.42,"Verified",16.19,"0.108","no",60,1,0
"346",15.04,"Not Verified",10.15,"0.632","no",60,3,2
"347",18.06,"Source Verified",2.59,"0.049","no",36,2,1
"348",15.04,"Source Verified",12.86,"0.721","no",36,3,4
"349",13.59,"Verified",33.84,"0.602","no",36,2,3
"350",7.35,"Verified",204.13,"0.212","no",60,1,1
"351",15.05,"Verified",3.83,"0.365","no",36,2,1
"352",26.77,"Verified",27.7,"0.713","no",60,3,0
"353",7.35,"Verified",7.81,"0.169","no",36,1,0
"354",11.98,"Source Verified",17.98,"0.202","no",36,2,2
"355",13.59,"Not Verified",22.57,"0.467","no",36,1,0
"356",11.98,"Not Verified",9.14,"0.576","no",36,3,2
"357",7.35,"Not Verified",36.45,"0.447","no",36,1,0
"358",9.92,"Not Verified",13.6,"0.211","no",36,3,4
"359",14.08,"Not Verified",30.38,"0.669","no",36,1,1
"360",9.93,"Source Verified",15.34,"0.194","no",60,2,1
"361",17.47,"Source Verified",16.66,"0.486","no",36,3,0
"362",9.43,"Source Verified",16.55,"0.171","no",36,3,2
"363",7.97,"Not Verified",6.88,"0.046","yes",36,1,0
"364",9.43,"Not Verified",19.97,"0.448","no",60,3,2
"365",14.08,"Verified",24.34,"0.623","no",36,2,0
"366",7.97,"Not Verified",19.95,"0.138","no",36,1,6
"367",14.07,"Not Verified",17.23,"1.064","no",36,3,1
"368",9.93,"Source Verified",80.75,"0.369","no",36,1,4
"369",10.42,"Not Verified",11.62,"0.604","no",36,1,5
"370",25.82,"Verified",20.16,"0.875","no",60,2,7
"371",25.82,"Source Verified",34.02,"0.687","no",60,2,0
"372",7.35,"Not Verified",19.71,"0.430","no",36,2,2
"373",15.05,"Source Verified",19.95,"0.525","yes",60,1,3
"374",7.96,"Not Verified",15.53,"0.263","no",36,3,0
"375",13.58,"Verified",38.29,"0.472","no",36,3,2
"376",16.01,"Verified",35.5,"0.126","yes",60,2,0
"377",7.34,"Not Verified",34.38,"0.145","no",36,3,3
"378",6.08,"Not Verified",9.53,"0.065","no",36,1,0
"379",12.61,"Source Verified",27.92,"0.782","no",36,3,0
"380",16.02,"Source Verified",25.31,"0.156","yes",60,2,0
"381",11.99,"Not Verified",18.57,"0.255","no",60,2,1
"382",6.08,"Not Verified",20.05,"0.413","no",36,2,0
"383",30.79,"Source Verified",23.97,"0.790","no",60,2,0
"384",16.02,"Verified",30.51,"0.945","no",36,1,0
"385",12.61,"Source Verified",21.92,"0.826","no",60,3,4
"386",12.61,"Not Verified",14.24,"0.065","no",36,3,0
"387",14.08,"Not Verified",6.79,"0.483","no",36,1,0
"388",17.09,"Not Verified",3.82,"0.281","no",36,1,3
"389",7.96,"Not Verified",14.4,"0.188","no",36,3,4
"390",10.42,"Verified",4.66,"0.630","no",36,1,1
"391",7.34,"Not Verified",26.04,"0.496","yes",36,3,1
"392",9.92,"Not Verified",26.4,"0.173","no",60,3,3
"393",6.72,"Source Verified",17.67,"0.301","no",36,1,1
"394",10.42,"Source Verified",24.06,"0.506","no",36,2,3
"395",6.71,"Not Verified",16.39,"0.566","no",60,3,3
"396",16.01,"Source Verified",17.16,"0.666","no",36,3,8
"397",14.08,"Not Verified",23.88,"0.686","no",36,1,0
"398",10.9,"Not Verified",8.79,"0.721","yes",36,3,2
"399",5.31,"Not Verified",13.5,"0.560","no",36,3,0
"400",17.47,"Source Verified",27.72,"0.656","no",60,3,0
"401",9.93,"Source Verified",29.58,"0.174","yes",36,2,1
"402",9.43,"Source Verified",12.95,"0.108","no",36,3,0
"403",14.08,"Source Verified",14.66,"0.640","no",60,1,0
"404",7.97,"Verified",25.18,"0.706","no",36,1,1
"405",7.35,"Source Verified",8.02,"0.310","no",36,1,2
"406",15.05,"Not Verified",18.5,"0.468","no",60,1,3
"407",14.07,"Source Verified",19.8,"0.636","no",36,2,2
"408",11.99,"Source Verified",13.08,"0.806","no",36,1,1
"409",5.31,"Not Verified",9.17,"0.432","no",36,3,2
"410",5.32,"Not Verified",6.36,"0.092","no",36,1,0
"411",11.99,"Not Verified",22.86,"0.648","no",36,1,1
"412",15.04,"Source Verified",12.52,"0.550","no",60,3,2
"413",6.72,"Source Verified",9.8,"0.049","no",36,1,3
"414",7.97,"Source Verified",9.93,"0.115","no",36,1,0
"415",5.32,"Source Verified",18.98,"0.214","no",36,1,4
"416",22.91,"Verified",22.66,"0.187","no",36,2,8
"417",10.91,"Source Verified",16.72,"0.534","no",60,2,0
"418",15.05,"Verified",33.01,"0.258","no",36,3,1
"419",7.35,"Not Verified",14.16,"0.202","no",36,1,5
"420",11.99,"Verified",3.76,"0.025","no",36,1,3
"421",9.93,"Verified",17.74,"0.587","yes",36,2,1
"422",20,"Source Verified",19.85,"0.837","no",60,2,5
"423",13.59,"Source Verified",11.66,"0.100","yes",36,1,3
"424",26.77,"Verified",8.64,"0.688","yes",60,3,4
"425",16.01,"Not Verified",35.12,"0.694","no",60,3,4
"426",5.31,"Not Verified",5.25,"0.561","no",36,2,0
"427",21.85,"Verified",10.8,"0.518","no",60,3,1
"428",11.99,"Not Verified",3.04,"0.859","no",36,1,1
"429",6.08,"Source Verified",21.62,"0.877","no",36,1,0
"430",19.03,"Source Verified",34.04,"0.447","no",36,1,2
"431",7.35,"Source Verified",21.52,"0.579","no",36,1,0
"432",7.96,"Source Verified",22.14,"0.194","no",36,3,2
"433",20.39,"Source Verified",33.37,"0.786","no",36,2,0
"434",15.05,"Verified",92.67,"0.683","no",60,2,2
"435",7.96,"Not Verified",17.64,"0.172","no",36,3,0
"436",5.32,"Not Verified",18.42,"0.313","no",36,1,0
"437",14.08,"Not Verified",30.62,"1.083","no",36,1,2
"438",18.45,"Verified",13.23,"0.838","yes",36,3,3
"439",6.72,"Source Verified",34.72,"0.521","yes",36,2,0
"440",17.09,"Not Verified",13.08,"0.727","no",60,1,1
"441",10.9,"Not Verified",37.46,"0.166","no",36,3,2
"442",13.58,"Verified",27.03,"0.306","no",60,3,0
"443",14.08,"Verified",3.85,"0.148","no",60,2,3
"444",6.72,"Source Verified",25.73,"0.177","no",60,2,1
"445",9.43,"Not Verified",9.2,"0.292","no",36,3,2
"446",11.99,"Source Verified",27.16,"0.847","no",60,2,0
"447",11.98,"Not Verified",9.69,"1.018","no",36,2,0
"448",10.42,"Verified",16.02,"0.169","no",60,1,2
"449",11.98,"Source Verified",7.05,"0.929","no",36,3,0
"450",7.96,"Source Verified",27.2,"0.628","no",60,3,0
"451",9.93,"Not Verified",11.22,"0.076","no",36,1,5
"452",9.43,"Source Verified",13.42,"0.876","no",36,2,0
"453",10.41,"Verified",17.22,"0.905","no",36,2,2
"454",7.34,"Source Verified",15.67,"0.586","no",36,3,2
