interest_rate,income_ver,debt_to_income,credit_util,bankruptcy,term,issue,credit_checks,credit_utilized
10.42,Verified,17.44,0.1671432,0,60,1,1,87687
7.96,Not Verified,11.45,0.196107947,1,36,3,2,14461
13.59,Not Verified,21.09,0.254345849,0,60,1,5,121076
15.04,Source Verified,34.86,0.662979553,0,60,3,1,159851
12.61,Source Verified,13.77,0.486594319,0,36,3,1,18294
7.96,Source Verified,9.61,0.847541051,1,36,3,3,40982
13.58,Source Verified,24.39,0.549455767,0,60,3,4,47451
16.01,Source Verified,5.16,0.06095279,0,60,3,6,23551
22.91,Verified,28.53,0.390209021,0,36,2,1,177350
7.97,Not Verified,20.74,0.125011675,0,36,1,8,16061
18.06,Not Verified,12.22,0.414867925,1,60,1,3,10994
6.08,Not Verified,15.84,0.135710421,0,36,1,0,84019
5.32,Source Verified,3.82,0.141735145,0,36,2,0,7020
5.32,Not Verified,15.48,0.171889166,1,36,2,2,47779
9.93,Source Verified,14.16,0.079849468,0,36,1,2,22788
20,Verified,49.58,0.657800432,1,60,2,2,29553
15.05,Not Verified,13.27,0.92137457,0,36,2,0,60327
7.96,Source Verified,16.72,0.126133267,0,36,3,13,30552
26.77,Source Verified,18.5,0.114001973,0,60,3,2,39168
9.44,Not Verified,15.28,0.098050501,1,60,1,6,78028
13.59,Not Verified,19.05,0.298213264,0,36,2,9,42210
15.04,Source Verified,26.96,0.470989399,0,36,3,0,13329
5.31,Not Verified,21.63,0.37504166,0,36,3,2,79897
14.08,Verified,24.77,0.720766343,0,36,2,8,40706
13.59,Source Verified,18.36,0.555382343,0,36,1,2,20307
7.97,Not Verified,18.92,0.460983765,0,36,2,0,11443
9.93,Source Verified,14.66,0.426057513,0,60,1,2,43411
6.08,Source Verified,29.58,0.111772214,0,36,1,0,27408
21.85,Not Verified,37.83,0.655655877,0,60,2,0,38487
10.42,Source Verified,13.49,0.70657612,0,36,2,2,47029
17.47,Source Verified,29.36,0.77397086,0,36,3,0,66933
10.9,Source Verified,1.12,0.196366906,0,36,3,0,5459
6.08,Not Verified,18.67,0.277353395,0,36,1,0,57403
12.61,Not Verified,25.23,0.536173114,0,36,3,1,29882
23.87,Verified,27.56,0.076077697,0,36,2,2,9913
18.06,Verified,26.88,0.219359001,0,36,2,2,76834
13.59,Source Verified,21.45,0.919000117,0,60,1,0,165182
16.02,Source Verified,15.3,0.616255144,1,36,2,3,20366
9.93,Verified,16.13,0.326501383,0,36,2,2,96202
9.92,Source Verified,2.91,0.159683544,0,36,3,2,2523
7.35,Not Verified,18.55,0.65592322,0,36,1,1,27474
10.91,Source Verified,9.19,0.120847004,0,36,2,2,53298
13.59,Source Verified,8.46,0.56116919,0,60,2,1,164954
14.07,Source Verified,9.8,0.392649007,1,36,3,0,5929
7.34,Not Verified,11.62,0.390408135,0,36,3,6,19887
15.05,Verified,24.31,0.144840359,0,60,2,1,110739
6.72,Verified,14.66,0.298295619,0,36,2,0,61746
16.01,Source Verified,22.73,0.162043186,0,36,3,1,69424
7.34,Not Verified,9.91,0.218339921,0,36,3,0,11048
23.88,Not Verified,29.47,0.944965724,1,36,2,4,44111
15.05,Not Verified,27.68,0.652331315,0,36,1,1,62706
6.72,Not Verified,4.25,0.208743719,0,36,2,0,4154
21.45,Source Verified,16.97,0.370205522,0,36,2,3,20877
25.82,Verified,19.44,0.450915012,1,60,2,1,17445
14.08,Not Verified,6.06,0.618053571,0,60,1,2,34611
15.05,Verified,17.25,0.736217845,1,36,2,1,38608
9.44,Not Verified,23.33,0.326373704,0,36,1,0,27762
17.09,Verified,33.19,0.749950715,0,36,2,2,30433
16.01,Not Verified,19.93,0.654949373,0,36,3,1,21669
10.9,Source Verified,15.31,0.319621856,1,60,3,2,28400
12.62,Not Verified,22.88,0.519415909,0,36,1,2,49906
21.45,Verified,14.4,0.838701091,0,60,2,2,15755
10.41,Source Verified,6.11,0.056404097,0,36,3,3,13900
5.32,Not Verified,18.65,0.457218785,0,36,1,0,52475
21.85,Verified,27.08,0.159419738,1,60,3,2,46068
18.06,Not Verified,11.73,0.522884048,1,60,1,3,27819
5.32,Source Verified,7.82,0.2446806,0,36,2,2,93341
17.09,Source Verified,18.88,0.707950661,0,60,2,3,68759
9.93,Source Verified,20.78,0.138578689,0,60,3,1,57617
6.08,Source Verified,19.42,0.61995216,0,36,2,1,39654
17.09,Not Verified,NA,0.807238086,0,60,2,10,34997
16.01,Not Verified,0.33,0.433008432,0,36,3,2,11195
13.59,Not Verified,8.56,0.480224215,1,60,2,0,10709
9.92,Source Verified,14.16,0.532229665,0,36,3,2,29320
15.04,Source Verified,12.89,0.16701529,0,60,3,2,88149
6.71,Not Verified,9.92,0.062752478,0,36,3,3,20241
17.47,Source Verified,7.2,0.983333333,0,36,3,0,13570
11.99,Source Verified,27.06,0.471595985,1,36,1,2,44347
13.59,Source Verified,13.3,0.497891374,0,36,2,1,15584
7.35,Not Verified,24.99,0.342378375,0,36,1,9,105205
10.42,Source Verified,0.54,0.000165635,0,60,1,4,42
7.97,Source Verified,16.72,0.129079286,0,36,2,0,78003
9.92,Not Verified,10.62,0.149171664,0,60,3,1,25122
12.61,Verified,39.34,0.586285141,0,36,3,0,145985
9.93,Not Verified,14.23,0.32286207,0,60,1,1,95665
14.07,Not Verified,21.79,0.149524437,0,60,3,1,32432
14.08,Source Verified,5.96,0.74139366,0,60,2,0,9799
12.62,Source Verified,22.49,0.44844712,0,60,1,2,98692
16.02,Source Verified,17.28,0.184313974,0,60,1,3,37791
14.07,Not Verified,29.38,0.251994302,0,60,2,7,72529
18.06,Source Verified,24.57,0.467256881,0,36,2,2,57581
14.08,Not Verified,21.3,0.470204371,0,60,1,1,34442
16.02,Source Verified,8.63,0.917379438,0,60,2,0,90416
11.99,Source Verified,8.66,0.134624465,0,60,1,0,16537
6.72,Not Verified,26.49,0.455089667,0,36,2,0,53291
19.03,Source Verified,8.37,0.722857665,1,60,1,9,90942
6.71,Source Verified,11.33,0.602165682,0,36,3,0,46601
6.07,Not Verified,15.48,0.550876947,0,36,3,0,39261
7.35,Source Verified,16.95,0.250908063,0,36,1,0,47940
13.59,Not Verified,27.93,0.529603507,1,36,2,1,37694
13.59,Source Verified,5.87,0.073214657,0,36,1,1,2114
5.31,Not Verified,12.42,0.096685889,0,36,3,0,37792
7.97,Source Verified,13.04,0.610398191,0,36,1,2,24021
7.35,Source Verified,40.15,0.254908272,1,36,1,3,117216
11.99,Verified,11.88,0.518671587,1,36,1,2,14056
16.02,Not Verified,25.41,0.45993592,0,36,2,3,33160
9.93,Source Verified,9.33,0.698899314,1,36,1,0,38733
19.42,Not Verified,27.74,0.507836074,0,36,2,5,48638
7.96,Not Verified,23.01,0.46592965,0,36,3,0,86272
13.59,Source Verified,10.83,0.030311076,0,36,1,0,12329
12.61,Verified,39.63,0.81012726,1,36,3,7,136103
19.03,Verified,18.09,0.103966202,0,36,2,5,38119
16.01,Source Verified,7.08,0.323012422,0,36,3,6,10401
6.72,Not Verified,2.54,0.087435897,0,36,1,0,1364
6.07,Not Verified,25.33,0.197144021,1,36,3,1,51302
15.05,Source Verified,23.92,0.228205285,0,36,1,0,82200
6.07,Source Verified,29.72,0.603959881,0,36,3,0,34805
13.58,Verified,22.66,0.291734825,0,36,3,2,101835
10.42,Source Verified,5.68,0.343181818,0,36,2,1,3775
11.98,Source Verified,9.73,0.896925473,0,36,3,0,71415
9.43,Source Verified,2.78,0.059588378,0,36,3,0,2461
16.02,Not Verified,39.07,0.692203161,0,36,2,3,75898
18.06,Verified,25.43,0.426104937,0,36,2,0,8243
12.61,Source Verified,2.47,0.128372881,0,60,3,1,11361
14.07,Source Verified,22.92,0.130491842,0,60,3,1,48921
10.42,Source Verified,27.71,0.393599707,0,36,1,4,51510
10.42,Source Verified,14.04,0.680498871,1,36,1,2,65694
17.47,Source Verified,11.79,0.156982389,1,60,3,1,16491
10.91,Not Verified,30.54,0.761742007,0,60,1,1,27636
5.32,Not Verified,18.63,0.09629388,0,36,1,0,30997
9.44,Not Verified,18.39,0.153965347,0,60,1,3,81876
9.44,Source Verified,27.84,0.154574382,0,36,3,1,37064
14.08,Not Verified,9.24,0.318445897,0,36,2,0,8770
7.35,Not Verified,14.31,0.211484848,1,36,1,1,6979
12.62,Not Verified,14.39,0.327822222,0,60,1,1,29504
15.04,Verified,22.04,0.691607834,0,36,3,1,70239
9.92,Source Verified,0,0,0,60,3,3,0
10.9,Verified,15.81,0.482793478,0,60,3,3,77372
6.72,Not Verified,27.6,0.493288445,0,36,3,4,45569
5.32,Verified,29.12,0.518683593,0,36,2,0,37589
11.99,Verified,7.57,0.929715372,0,60,1,1,35702
5.32,Source Verified,10.67,0.069945592,0,36,2,1,35893
10.41,Verified,31.61,0.334009591,0,36,3,0,14488
14.07,Source Verified,8.7,0.7211875,0,60,3,1,11539
6.07,Not Verified,15.05,0.220610064,0,36,2,1,22442
9.93,Verified,28.96,0.692302756,0,36,1,0,21577
11.99,Source Verified,2.28,0.356097561,0,36,3,10,1460
6.71,Verified,12.9,0.173703691,1,36,3,2,46789
5.31,Not Verified,16.57,0.11604072,0,36,2,2,58807
13.59,Not Verified,18.03,0.408652537,0,60,2,1,21017
10.9,Source Verified,10.92,0.531533333,1,36,2,3,15946
12.62,Source Verified,5.59,0.260704225,0,36,1,2,3702
10.42,Not Verified,27.02,0.935911402,0,36,1,2,77325
15.05,Not Verified,24.38,0.811484069,0,36,2,4,214317
6.71,Not Verified,11.45,0.342258652,0,36,2,0,18790
21.45,Source Verified,28.8,0.921118998,1,60,2,1,90581
9.44,Source Verified,11.12,0.246909542,0,36,3,3,147964
11.99,Verified,13.47,0.240582628,0,36,2,6,40632
11.99,Not Verified,16.93,0.79837368,0,36,1,0,42709
6.07,Not Verified,14.43,0.220248692,0,36,3,1,97118
5.31,Source Verified,16.08,0.51952261,0,36,2,0,23724
6.07,Source Verified,33.23,0.185983632,0,36,3,2,105380
19.42,Source Verified,23.73,0.869711139,1,60,2,6,83701
21.85,Verified,14.37,0.618294862,0,60,3,1,83037
14.08,Verified,21.32,0.151702938,0,36,2,4,37210
18.06,Verified,18.66,0.092570436,0,60,1,2,39536
10.91,Source Verified,27.2,0.815442814,0,36,1,3,30394
9.44,Not Verified,24.38,0.293447527,0,60,1,0,57185
12.62,Verified,17.23,0.128229462,0,60,2,0,16349
9.44,Not Verified,7.75,0.288619186,0,60,2,0,19857
6.08,Verified,6.21,0.149742346,0,36,2,0,81103
11.98,Not Verified,26.88,0.395130398,0,36,3,3,37650
9.92,Not Verified,19.44,0.817488479,0,36,3,0,35479
13.59,Source Verified,19.2,0.185887308,0,36,2,1,121893
10.41,Not Verified,16.31,0.635660857,1,36,2,4,50734
9.93,Verified,42.64,0.193835662,0,60,1,3,47123
7.97,Not Verified,17.49,0.13388636,0,36,2,3,27470
19.42,Not Verified,32.32,0.628833169,0,36,3,5,50384
18.45,Verified,18.17,0.682211163,0,60,3,2,163262
6.72,Not Verified,7.2,0.11238231,0,36,1,3,59144
10.91,Source Verified,3.48,0.041901914,0,36,1,1,3503
17.47,Source Verified,20.73,0.420689655,0,36,3,0,1220
10.41,Not Verified,9.37,0.543155296,0,36,3,3,24203
6.72,Verified,74.38,0.49550823,0,36,1,0,26641
9.44,Not Verified,15.28,0.1109416,0,36,2,4,35342
12.61,Source Verified,9.09,0.323555696,0,36,3,4,6155
7.96,Not Verified,3.67,0.083978102,0,36,3,4,2301
10.9,Verified,2.7,0.834324324,0,36,3,1,6174
21.85,Not Verified,16.07,0.143166227,0,60,2,3,43011
7.96,Verified,9.82,0.109114833,0,36,3,0,4561
9.43,Verified,21.08,0.223804699,0,60,3,3,46828
15.04,Not Verified,22.18,0.16320034,0,60,3,1,61520
14.07,Source Verified,13.72,0.15117251,0,60,3,4,49013
10.9,Source Verified,15.3,0.112737038,1,36,3,0,20570
6.08,Not Verified,13.82,0.12057325,0,36,2,2,25038
9.93,Source Verified,15.94,0.957059091,0,36,1,1,75734
12.61,Not Verified,11.52,0.718149926,0,36,3,0,15558
10.42,Not Verified,18.48,0.159233863,0,60,2,0,30328
30.17,Source Verified,22.6,0.133279857,0,60,1,1,40043
19.42,Verified,21.22,0.870316269,0,60,2,3,58091
9.43,Not Verified,20.58,0.225595238,1,36,3,1,9854
17.47,Verified,7.2,0.018781024,0,60,3,0,6345
7.34,Source Verified,16.62,0.394132245,0,36,3,0,19694
7.96,Not Verified,15.38,0.737785746,1,36,3,0,24690
13.58,Source Verified,17.62,0.564260999,1,36,3,2,20547
9.43,Verified,10.85,0.191598424,0,60,3,0,12447
21.85,Verified,36.25,0.376139888,0,60,3,1,253507
21.85,Not Verified,27.28,0.607440006,1,60,3,0,26502
22.91,Verified,1.25,1.111487088,1,36,1,1,62410
12.61,Not Verified,0.75,0.001106214,0,36,3,3,389
9.93,Verified,12.08,0.062076599,0,36,2,5,21479
6.72,Source Verified,13.75,0.158709696,0,36,1,2,11326
19.42,Source Verified,8.59,0.866255346,0,36,3,0,26536
9.92,Source Verified,18.89,0.096446076,1,36,3,9,43133
14.07,Not Verified,19.97,0.21525976,0,60,3,0,42810
10.42,Verified,37.06,0.213599176,0,36,1,1,67203
7.35,Not Verified,17.61,0.406969215,0,36,1,10,20742
6.71,Not Verified,27.51,0.627947828,0,36,3,2,162295
12.62,Not Verified,21.05,0.199582844,0,36,2,5,55690
21.45,Not Verified,38.45,0.37623878,0,60,2,5,238418
16.01,Not Verified,17.96,0.270921053,0,60,2,0,14413
16.02,Not Verified,6.27,0.323516972,1,60,1,1,12238
10.9,Source Verified,11.36,0.695120466,0,36,3,1,28534
11.99,Source Verified,9.11,0.060591177,0,36,1,3,21835
7.34,Source Verified,5.44,0.324953318,0,36,3,3,35675
12.61,Not Verified,15.46,0.827516821,0,36,2,1,65800
6.71,Source Verified,7.2,0.188714943,0,36,3,2,10174
9.43,Not Verified,2.42,0.475588235,0,36,3,0,3234
13.59,Not Verified,34.13,0.810529791,0,36,1,1,144836
6.08,Not Verified,17.68,0.183054377,0,36,1,0,23558
7.96,Source Verified,18.01,0.31021219,0,36,3,3,117424
7.35,Not Verified,25.65,0.458972013,0,36,2,1,24583
10.9,Source Verified,10.19,0.595660377,0,60,3,0,12628
6.07,Source Verified,24.17,0.272267415,0,36,3,0,58238
19.03,Source Verified,5.44,0.120142857,0,36,1,2,841
14.08,Source Verified,9.49,0.925441174,0,60,2,1,214173
10.42,Source Verified,27.7,0.743785171,0,36,2,1,79437
9.44,Not Verified,1.45,0.007895925,1,36,3,1,857
5.31,Source Verified,9.78,0.130764953,0,36,2,0,14344
7.97,Not Verified,11.81,0.46961165,0,36,1,1,19348
5.32,Not Verified,14.44,0.160989486,0,36,1,2,43916
10.91,Verified,31.18,0.405012906,0,36,1,1,112029
10.91,Source Verified,38.98,0.670702814,0,36,1,0,135598
19.03,Verified,128.61,0.27877678,0,36,1,0,60586
12.61,Source Verified,14.72,0.914588417,0,60,3,1,71219
13.59,Source Verified,17.58,0.259145106,0,36,1,1,66507
5.32,Source Verified,20.57,0.169784779,0,36,1,0,84245
13.58,Verified,22.64,0.527786393,0,60,3,2,56157
16.01,Not Verified,9.92,0.187194707,0,60,2,2,39894
7.35,Not Verified,14.52,0.18345218,0,36,1,3,45562
9.92,Verified,18.61,0.078946399,0,36,3,1,30014
9.43,Source Verified,16.82,0.135849213,0,60,2,0,32794
7.35,Verified,13.22,0.094921194,0,36,2,3,75510
9.43,Not Verified,7.84,0.051017536,1,36,3,2,12146
9.44,Not Verified,5.65,0.374476842,1,36,2,3,21474
17.09,Source Verified,24.8,0.845172438,0,36,1,1,71412
18.06,Verified,24.42,0.697642524,0,36,1,9,67146
21.85,Source Verified,18.08,0.707861303,0,60,3,4,30867
6.72,Not Verified,10.66,0.449877622,0,36,2,0,25733
9.43,Source Verified,21.22,0.486696673,0,36,2,3,252708
10.42,Verified,16.19,0.107822329,0,60,1,0,30887
15.04,Not Verified,10.15,0.63225783,0,60,3,2,17401
18.06,Source Verified,2.59,0.049230769,0,36,2,1,768
15.04,Source Verified,12.86,0.720743309,0,36,3,4,50305
13.59,Verified,33.84,0.601808281,0,36,2,3,92720
7.35,Verified,204.13,0.211976855,0,60,1,1,86236
15.05,Verified,3.83,0.365079365,0,36,2,1,2300
26.77,Verified,27.7,0.712541419,0,60,3,0,31396
7.35,Verified,7.81,0.169010866,0,36,1,0,42153
11.98,Source Verified,17.98,0.201809485,0,36,2,2,53623
13.59,Not Verified,22.57,0.467233327,0,36,1,0,16106
11.98,Not Verified,9.14,0.576460986,0,36,3,2,17657
7.35,Not Verified,36.45,0.447331959,0,36,1,0,41002
9.92,Not Verified,13.6,0.21056317,0,36,3,4,43001
14.08,Not Verified,30.38,0.669162688,0,36,1,1,55495
9.93,Source Verified,15.34,0.193686128,0,60,2,1,64230
17.47,Source Verified,16.66,0.48583564,0,36,3,0,12811
9.43,Source Verified,16.55,0.170649664,0,36,3,2,49514
7.97,Not Verified,6.88,0.046455566,1,36,1,0,8248
9.43,Not Verified,19.97,0.448049696,0,60,3,2,45223
14.08,Verified,24.34,0.622899576,0,36,2,0,44039
7.97,Not Verified,19.95,0.138411413,0,36,1,6,54546
14.07,Not Verified,17.23,1.064382957,0,36,3,1,135100
9.93,Source Verified,80.75,0.369051799,0,36,1,4,122964
10.42,Not Verified,11.62,0.603656129,0,36,1,5,25988
25.82,Verified,20.16,0.874957893,0,60,2,7,38961
25.82,Source Verified,34.02,0.686620274,0,60,2,0,56537
7.35,Not Verified,19.71,0.430249733,0,36,2,2,138654
15.05,Source Verified,19.95,0.524650019,1,60,1,3,56328
7.96,Not Verified,15.53,0.263471582,0,36,3,0,12864
13.58,Verified,38.29,0.472145651,0,36,3,2,93177
16.01,Verified,35.5,0.125920327,1,60,2,0,4498
7.34,Not Verified,34.38,0.144967896,0,36,3,3,61999
6.08,Not Verified,9.53,0.064724055,0,36,1,0,21579
12.61,Source Verified,27.92,0.782079139,0,36,3,0,66587
16.02,Source Verified,25.31,0.155548533,1,60,2,0,18703
11.99,Not Verified,18.57,0.254733149,0,60,2,1,68969
6.08,Not Verified,20.05,0.412808019,0,36,2,0,32701
30.79,Source Verified,23.97,0.790025923,0,60,2,0,32000
16.02,Verified,30.51,0.944886878,0,36,1,0,20882
12.61,Source Verified,21.92,0.826421627,0,60,3,4,62056
12.61,Not Verified,14.24,0.064535364,0,36,3,0,15152
14.08,Not Verified,6.79,0.483477331,0,36,1,0,5428
17.09,Not Verified,3.82,0.281162791,0,36,1,3,12090
7.96,Not Verified,14.4,0.188056955,0,36,3,4,68480
10.42,Verified,4.66,0.630351455,0,36,1,1,11676
7.34,Not Verified,26.04,0.496097749,1,36,3,1,52823
9.92,Not Verified,26.4,0.17344485,0,60,3,3,44503
6.72,Source Verified,17.67,0.301156716,0,36,1,1,8071
10.42,Source Verified,24.06,0.505667746,0,36,2,3,59821
6.71,Not Verified,16.39,0.565849053,0,60,3,3,111470
16.01,Source Verified,17.16,0.665716184,0,36,3,8,55098
14.08,Not Verified,23.88,0.68625308,0,36,1,0,34535
10.9,Not Verified,8.79,0.72115864,1,36,3,2,43395
5.31,Not Verified,13.5,0.559842932,0,36,3,0,32079
17.47,Source Verified,27.72,0.655644604,0,60,3,0,59802
9.93,Source Verified,29.58,0.174321596,1,36,2,1,44987
9.43,Source Verified,12.95,0.108236483,0,36,3,0,50542
14.08,Source Verified,14.66,0.6395231,0,60,1,0,42912
7.97,Verified,25.18,0.706479642,0,36,1,1,35206
7.35,Source Verified,8.02,0.310431655,0,36,1,2,5178
15.05,Not Verified,18.5,0.46800311,0,60,1,3,41532
14.07,Source Verified,19.8,0.635872093,0,36,2,2,10937
11.99,Source Verified,13.08,0.805769075,0,36,1,1,19917
5.31,Not Verified,9.17,0.431864976,0,36,3,2,32931
5.32,Not Verified,6.36,0.092346096,0,36,1,0,12467
11.99,Not Verified,22.86,0.648437916,0,36,1,1,36509
15.04,Source Verified,12.52,0.54971694,0,60,3,2,22722
6.72,Source Verified,9.8,0.049419503,0,36,1,3,19836
7.97,Source Verified,9.93,0.114811881,0,36,1,0,5798
5.32,Source Verified,18.98,0.213932432,0,36,1,4,45979
22.91,Verified,22.66,0.186891496,0,36,2,8,25492
10.91,Source Verified,16.72,0.53383799,0,60,2,0,55430
15.05,Verified,33.01,0.258361476,0,36,3,1,82624
7.35,Not Verified,14.16,0.202428017,0,36,1,5,99129
11.99,Verified,3.76,0.025045646,0,36,1,3,4321
9.93,Verified,17.74,0.587383235,1,36,2,1,42822
20,Source Verified,19.85,0.836702484,0,60,2,5,52483
13.59,Source Verified,11.66,0.099792909,1,36,1,3,14360
26.77,Verified,8.64,0.688362573,1,60,3,4,23542
16.01,Not Verified,35.12,0.693890435,0,60,3,4,72540
5.31,Not Verified,5.25,0.56078125,0,36,2,0,7178
21.85,Verified,10.8,0.518292077,0,60,3,1,20854
11.99,Not Verified,3.04,0.858732782,0,36,1,1,15586
6.08,Source Verified,21.62,0.877252484,0,36,1,0,85097
19.03,Source Verified,34.04,0.446535001,0,36,1,2,30568
7.35,Source Verified,21.52,0.57931027,0,36,1,0,107458
7.96,Source Verified,22.14,0.194376419,0,36,3,2,84690
20.39,Source Verified,33.37,0.78627907,0,36,2,0,47334
15.05,Verified,92.67,0.683009218,0,60,2,2,35789
7.96,Not Verified,17.64,0.172092376,0,36,3,0,43258
5.32,Not Verified,18.42,0.31283442,0,36,1,0,21457
14.08,Not Verified,30.62,1.083412011,0,36,1,2,135407
18.45,Verified,13.23,0.838371427,1,36,3,3,90747
6.72,Source Verified,34.72,0.520939609,1,36,2,0,29717
17.09,Not Verified,13.08,0.726770326,0,60,1,1,69831
10.9,Not Verified,37.46,0.166354885,0,36,3,2,48821
13.58,Verified,27.03,0.305877512,0,60,3,0,31220
14.08,Verified,3.85,0.148285786,0,60,2,3,57499
6.72,Source Verified,25.73,0.176896491,0,60,2,1,48009
9.43,Not Verified,9.2,0.292402597,0,36,3,2,4503
11.99,Source Verified,27.16,0.8465538,0,60,2,0,264416
11.98,Not Verified,9.69,1.017738619,0,36,2,0,78201
10.42,Verified,16.02,0.168775737,0,60,1,2,30329
11.98,Source Verified,7.05,0.929120735,0,36,3,0,70799
7.96,Source Verified,27.2,0.628203012,0,60,3,0,30449
9.93,Not Verified,11.22,0.075702598,0,36,1,5,24577
9.43,Source Verified,13.42,0.876407425,0,36,2,0,60480
10.41,Verified,17.22,0.904534173,0,36,2,2,169469
7.34,Source Verified,15.67,0.586036178,0,36,3,2,33499
14.07,Source Verified,18.19,0.952765144,0,36,3,2,118564
